子分类,接口名称 (Function),说明 (Description)
,macro_usa_ism_pmi,金十数据中心-经济指标-美国-产业指标-制造业-美国ISM制造业PMI报告
,macro_usa_nahb_house_market_index,金十数据中心-经济指标-美国-产业指标-房地产-美国NAHB房产市场指数报告
,macro_usa_house_starts,金十数据中心-经济指标-美国-产业指标-房地产-美国新屋开工总数年化报告
,macro_usa_new_home_sales,金十数据中心-经济指标-美国-产业指标-房地产-美国新屋销售总数年化报告
,macro_usa_building_permits,金十数据中心-经济指标-美国-产业指标-房地产-美国营建许可总数报告
,macro_usa_exist_home_sales,金十数据中心-经济指标-美国-产业指标-房地产-美国成屋销售总数年化报告
,macro_usa_house_price_index,金十数据中心-经济指标-美国-产业指标-房地产-美国FHFA房价指数月率报告
,macro_usa_spcs20,金十数据中心-经济指标-美国-产业指标-房地产-美国S&P/CS20座大城市房价指数年率报告
,macro_usa_pending_home_sales,金十数据中心-经济指标-美国-产业指标-房地产-美国成屋签约销售指数月率报告
,macro_usa_cb_consumer_confidence,金十数据中心-经济指标-美国-领先指标-美国谘商会消费者信心指数报告
,macro_usa_nfib_small_business,金十数据中心-经济指标-美国-领先指标-美国NFIB小型企业信心指数报告
,macro_usa_michigan_consumer_sentiment,金十数据中心-经济指标-美国-领先指标-美国密歇根大学消费者信心指数初值报告
,macro_usa_eia_crude_rate,金十数据中心-经济指标-美国-其他-美国EIA原油库存报告
,macro_usa_initial_jobless,金十数据中心-经济指标-美国-其他-美国初请失业金人数报告
,macro_usa_crude_inner,金十数据中心-经济指标-美国-其他-美国原油产量报告
,macro_usa_phs,未决房屋销售月率
全球/大宗,macro_cons_gold,全球最大黄金ETF—SPDR Gold Trust持仓报告
,macro_cons_silver,全球最大白银ETF--iShares Silver Trust持仓报告
,macro_cons_opec_month,欧佩克报告
,macro_cons_gold_volume,全球最大黄金ETF—SPDR Gold Trust持仓报告
,macro_cons_gold_change,全球最大黄金ETF—SPDR Gold Trust持仓报告
,macro_cons_gold_amount,全球最大黄金ETF—SPDR Gold Trust持仓报告
,macro_cons_silver_volume,全球最大白银ETF--iShares Silver Trust持仓报告
,macro_cons_silver_change,全球最大白银ETF--iShares Silver Trust持仓报告
,macro_cons_silver_amount,全球最大白银ETF--iShares Silver Trust持仓报告
,macro_euro_lme_holding,伦敦金属交易所(LME)-持仓报告
,macro_euro_lme_stock,伦敦金属交易所(LME)-库存报告
,macro_usa_cftc_nc_holding,外汇类非商业持仓报告
,macro_usa_cftc_c_holding,商品类非商业持仓报告
,macro_usa_cftc_merchant_currency_holding,外汇类商业持仓报告
,macro_usa_cftc_merchant_goods_holding,商品类商业持仓报告
,macro_fx_sentiment,货币对-投机情绪报告
,energy_carbon_domestic,碳排放权-国内
,spot_goods,商品现货价格指数
,drewry_wci_index,Drewry 集装箱指数
,index_price_cflp,中国公路物流运价指数
,index_volume_cflp,中国公路物流运量指数
,macro_global_sox_index,费城半导体指数
,macro_china_yw_electronic_index,义乌小商品指数-电子元器件
,macro_info_ws,华尔街见闻-日历-宏观
